Front,Back,Procedure,Guide,Chapter,Tags
"Corruption/Other Misconduct","Illegal or improper conduct by a member of the service; all members have an absolute duty to report","P.G. 207",PG.,key_terms 207_complaints
"Confidential ID Number","Number issued to anonymous reporters of corruption; obtaining it satisfies the reporting duty","P.G. 207",PG.,key_terms 207_complaints
"Investigating Supervisor","The supervisor who investigates a civilian complaint: Platoon Commander, Special Ops Lt., ICO, or CO/Duty Captain","P.G. 207",PG.,key_terms 207_complaints
"Supervisor Reviewing Civilian Complaint","Must be at least one rank higher than the member receiving the complaint","P.G. 207",PG.,key_terms 207_complaints
"7 Majors Rule","Hierarchy for classifying top charge in multi-crime complaints: Murder, Rape 1, Robbery, Felonious Assault, Burglary, Grand Larceny, GLA","P.G. 207",PG.,key_terms 207_complaints
"NIBRS","National Incident Based Reporting System; governs how multiple offenses from a single event are recorded (up to 10, hierarchy-based)","P.G. 207",PG.,key_terms 207_complaints
"Rosario Material","Complaint Report Worksheets (scratch copies) kept on file as discoverable material; all associated forms attached to the printed OMNI 61","P.G. 207",PG.,key_terms 207_complaints
"Jurisdiction Code 00","NYPD Patrol jurisdiction","P.G. 207",PG.,key_terms 207_complaints
"Jurisdiction Code 01","Transit jurisdiction","P.G. 207",PG.,key_terms 207_complaints
"Jurisdiction Code 02","Housing jurisdiction","P.G. 207",PG.,key_terms 207_complaints
"FADO","Force Unnecessary, Abuse of Authority, Discourtesy, Offensive Language -- the four categories of CCRB complaints","P.G. 207",PG.,key_terms 207_complaints
"Disability (Bias)","Physical, medical, mental, or psychological impairment or history/record of such; includes bodily organ/system impairment and recovering addicts (if currently recovering AND not currently abusing)","P.G. 207",PG.,key_terms 207_complaints
"Non-Bias Log #","Obtained by calling Hate Crimes (0800x2400) when CO determines incident is NOT bias","P.G. 207",PG.,key_terms 207_complaints
"Bias Log #","Obtained by calling Operations when CO determines incident IS possible bias","P.G. 207",PG.,key_terms 207_complaints
"MEO 16 of 1978","Mayor's Executive Order 16 of 1978; PG 207-21 and 207-22 serve as NYPD's guidelines for reporting corruption per this order","P.G. 207",PG.,key_terms 207_complaints
"Minor Misconduct (Non-NYPD)","DWI and Domestic Violence by non-NYPD government agents; documented on 61 with copies to IAB (no 49 needed)","P.G. 207",PG.,key_terms 207_complaints
"Theft from Department Locker","Includes actual theft AND attempted break-ins; requires IAB notification and log #","P.G. 207",PG.,key_terms 207_complaints
"Safe Return Program","MedicAlert + Alzheimer's Association program; check for bracelet/necklace; obtain Safe Return ID #","P.G. 207",PG.,key_terms 207_complaints
"Operation Safe Child","Program for registered children; obtain info from Safe Child Card when available","P.G. 207",PG.,key_terms 207_complaints
"DAS Messenger","Domain Awareness System Messenger application; used by Patrol Supervisor to transmit missing person message with photo and details","P.G. 207",PG.,key_terms 207_complaints
"CCRB #","Number issued by CCRB Intake Unit for FADO complaints","P.G. 207",PG.,key_terms 207_complaints
"COD #","Chief of Department number; issued for misconduct complaints that are not FADO (e.g., unwarranted traffic summons)","P.G. 207",PG.,key_terms 207_complaints
"CCRB Statistical Summary Sheet","Prepared by receiving MOS; complainant does NOT receive a copy","P.G. 207",PG.,key_terms 207_complaints
"Reviewing Supervisor","Must be at least one rank above the RECEIVING member (not the investigating member)","P.G. 207",PG.,key_terms 207_complaints
"U Visa","A visa for victims of qualifying criminal activity who have suffered substantial abuse and are helpful to law enforcement","P.G. 207",PG.,key_terms 207_complaints
"Qualifying Criminal Activity","Specified crimes that make a victim eligible for U Visa certification","P.G. 207",PG.,key_terms 207_complaints
"Certifying Official","The Department official authorized to sign U Visa certification forms","P.G. 207",PG.,key_terms 207_complaints
"Form Name","Form Number","P.G. 207",PG.,key_terms 207_complaints
"Complaint Report Worksheet","PD313-152A","P.G. 207",PG.,key_terms 207_complaints
"Complaint Report","PD313-152","P.G. 207",PG.,key_terms 207_complaints
"Civilian Complaint Form","PD313-154","P.G. 207",PG.,key_terms 207_complaints
"Unusual Occurrence Report","PD370-152","P.G. 207",PG.,key_terms 207_complaints
"Complaint Index Report","—","P.G. 207",PG.,key_terms 207_complaints
"Omniform Complaint Revision","—","P.G. 207",PG.,key_terms 207_complaints
"Abbreviation","Full Name","P.G. 207",PG.,key_terms 207_complaints
"SVU","Special Victims Unit","P.G. 207",PG.,key_terms 207_complaints
"IAB","Internal Affairs Bureau","P.G. 207",PG.,key_terms 207_complaints
"ECT","Enhanced Crime Team","P.G. 207",PG.,key_terms 207_complaints
"Hate Crime Unit","Hate Crime Unit (under Detective Bureau)","P.G. 207",PG.,key_terms 207_complaints
"Major Case Unit","Major Case Unit","P.G. 207",PG.,key_terms 207_complaints
"JVCTF","Joint Violent Crimes Task Force","P.G. 207",PG.,key_terms 207_complaints
"Financial Crimes Task Force","Financial Crimes Task Force","P.G. 207",PG.,key_terms 207_complaints
"Missing Persons Squad","Missing Persons Squad","P.G. 207",PG.,key_terms 207_complaints
"ATF","Bureau of Alcohol, Tobacco, Firearms and Explosives","P.G. 207",PG.,key_terms 207_complaints
"DB Wheel","Detective Bureau Wheel","P.G. 207",PG.,key_terms 207_complaints
"ICO","Integrity Control Officer","P.G. 207",PG.,key_terms 207_complaints
"SOL","Special Operations Lieutenant","P.G. 207",PG.,key_terms 207_complaints
"HCU","Hate Crime Unit","P.G. 207",PG.,key_terms 207_complaints
"MPS","Missing Persons Squad","P.G. 207",PG.,key_terms 207_complaints
"DAS","Domain Awareness System","P.G. 207",PG.,key_terms 207_complaints
"ISS","Investigative Support Section","P.G. 207",PG.,key_terms 207_complaints
"EEOD","Equal Employment Opportunity Division","P.G. 207",PG.,key_terms 207_complaints
"IRS","Investigative Review Section","P.G. 207",PG.,key_terms 207_complaints
"CCRB","Civilian Complaint Review Board","P.G. 207",PG.,key_terms 207_complaints
"DOI","Department of Investigations","P.G. 207",PG.,key_terms 207_complaints
"SERGEANT FOCUS: Ensure members understand which incidents require a formal Complaint Report and which are properly documented through alternative means. Misdocumentation can affect crime statistics and case tracking.","207 COMPLAINT SYSTEM","P.G. 207",PG.,sergeant_focus
"SERGEANT FOCUS: Supervisors must ensure that complaints taken for another command are promptly and accurately forwarded. Delays can compromise investigations.","207 COMPLAINT SYSTEM","P.G. 207",PG.,sergeant_focus
"SERGEANT FOCUS: Patrol supervisors should ensure that officers conducting follow-up canvasses or receiving new information properly route it to the assigned investigative unit rather than creating new complaint reports.","207 COMPLAINT SYSTEM","P.G. 207",PG.,sergeant_focus
"SERGEANT FOCUS: Supervisors are responsible for ensuring the complaint file is maintained in an orderly and up-to-date fashion, facilitating case review and audits.","207 COMPLAINT SYSTEM","P.G. 207",PG.,sergeant_focus
"SERGEANT FOCUS: The Intelligence Division consultation for public officials is a new emphasis in the 2025 revision. This is a ""shall"" requirement, not discretionary.","207 INVESTIGATIONS","P.G. 207",PG.,sergeant_focus
"SERGEANT FOCUS: The patrol supervisor has dual responsibilities: (1) promptly report to SVU, and (2) safeguard the crime scene pending detective arrival. The supervisor ""shall"" ensure evidence preservation -- this is mandatory.","207 INVESTIGATIONS","P.G. 207",PG.,sergeant_focus
"SERGEANT FOCUS: These notifications frequently involve elderly or incapacitated persons. Ensure responding members are sensitive to the circumstances and thorough in documentation.","207 NOTIFICATIONS","P.G. 207",PG.,sergeant_focus
"Arrest","The taking of a person into custody in order that they may be held to answer for a criminal offense or violation","P.G. 208",PG.,key_terms 208_arrests
"Pick-Up Arrest","An arrest of a person wanted by another command or agency","P.G. 208",PG.,key_terms 208_arrests
"Preferred Name","The name an arrestee prefers to be called, based on their gender identity","P.G. 208",PG.,key_terms 208_arrests
"Probable Cause","Facts and circumstances that would lead a reasonable person to believe a crime has been, is being, or is about to be committed","P.G. 208",PG.,key_terms 208_arrests
"Reasonable Suspicion (for strip search)","Articulable facts supporting a belief that weapons, contraband, or evidence are concealed on the person; required standard for authorizing a strip search","P.G. 208",PG.,key_terms 208_arrests
"Frisk / Field Search","External body examination conducted immediately after apprehension; special attention to waistband, armpit, collar, groin","P.G. 208",PG.,key_terms 208_arrests
"Search at Police Facility","Thorough search by same-gender member with removal of outer garments; NOT the same as a strip search","P.G. 208",PG.,key_terms 208_arrests
"Strip Search","Search requiring removal of undergarments; may NOT be conducted routinely; requires reasonable suspicion and approval of arresting officer's immediate supervisor or borough court section supervisor; same gender, secure area, utmost privacy","P.G. 208",PG.,key_terms 208_arrests
"High Risk Prisoner","A prisoner determined by the desk officer to be an escape risk; requires TWO MOS assigned to escort at ALL times","P.G. 208",PG.,key_terms 208_arrests
"Resisting Recidivist","A person arrested for Resisting Arrest, Assault 2nd (sub 3), Assault on PO, or Aggravated Assault on PO, 2 or more times within the past 5 years; processing enhanced with detective squad","P.G. 208",PG.,key_terms 208_arrests
"DAT (Desk Appearance Ticket)","An appearance ticket issued in lieu of continued detention for Class E felonies, misdemeanors, and violations; directs defendant to appear in court at a later date","P.G. 208",PG.,key_terms 208_arrests
"Satisfactory Form of Identification","NYS license, passport, US military ID, citizenship papers, out-of-state license, resident alien card, Municipal ID (including Canadian), Public Benefit Card; Department REQUIRED to accept these forms","P.G. 208",PG.,key_terms 208_arrests
"#","Warning Text","P.G. 208",PG.,key_terms 208_arrests
"1","You have the right to remain silent","P.G. 208",PG.,key_terms 208_arrests
"2","Anything you say may be used against you","P.G. 208",PG.,key_terms 208_arrests
"3","You have the right to an attorney before and during questioning","P.G. 208",PG.,key_terms 208_arrests
"4","An attorney will be provided if you cannot afford one","P.G. 208",PG.,key_terms 208_arrests
"5","You have the right to remain silent until you consult with an attorney","P.G. 208",PG.,key_terms 208_arrests
"6","Are you willing to answer questions?","P.G. 208",PG.,key_terms 208_arrests
"Family/Household (FCA Definition)","Legally married, formerly married, related by marriage, related by blood, child in common, intimate relationship","P.G. 208",PG.,key_terms 208_arrests
"Family/Household (NYPD Expanded)","FCA definition PLUS persons currently or formerly living together in a family-type relationship","P.G. 208",PG.,key_terms 208_arrests
"Family Offense","Specific offenses committed between family/household members, including harassment, assault, disorderly conduct, stalking, menacing, sexual misconduct, criminal mischief, strangulation, identity theft, grand larceny, coercion, unlawful dissemination of intimate image","P.G. 208",PG.,key_terms 208_arrests
"Concurrent Jurisdiction","When both Criminal Court and Family Court have jurisdiction; requires: (1) family offense, (2) FCA relationship, (3) offender 18+ (or 16-17 charged with felony-level family offense)","P.G. 208",PG.,key_terms 208_arrests
"Order of Protection","A court order directing a person to refrain from certain conduct toward a protected party; violation may be a mandatory arrest","P.G. 208",PG.,key_terms 208_arrests
"Lineup","An identification procedure where a suspect is placed among at least 5 other persons (minimum 6 total); same sex, race, approximate age/height/build; suspect selects position; detective supervisor supervises","P.G. 208",PG.,key_terms 208_arrests
"Showup","A prompt, on-the-scene, singly, one-to-one display of a suspect to a witness; used close in time and proximity to the crime","P.G. 208",PG.,key_terms 208_arrests
"Foreign National","Any person who is NOT a United States citizen, regardless of immigration status","P.G. 208",PG.,key_terms 208_arrests
"Mandatory Notification Countries","Countries requiring automatic consular notification upon arrest of their citizen, handled through the Intelligence Division Operations Unit (24 hrs)","P.G. 208",PG.,key_terms 208_arrests
"Bribery Arrest (PG 208-34)","The arrest process for the CHARGE of Bribery; covers notification chain, reporting, and court appearances","P.G. 208",PG.,key_terms 208_arrests
"Attempted Bribery (PG 208-35)","The process of getting wired up when a UMOS is offered a bribe; Attempted Bribery is NOT a criminal charge — the perp is charged with Bribery","P.G. 208",PG.,key_terms 208_arrests
"4 Ds (Bribery Court Appearances)","Date, Docket#, DA's name, Disposition — the four items an arresting officer must record for all court appearances in a bribery case","P.G. 208",PG.,key_terms 208_arrests
"DRAMAS","Mnemonic for personal family offenses: Dis Con / Reckless Endangerment / Aggravated Harassment 2nd, Harassment 1st or 2nd / Menacing 2nd or 3rd / Assault 2nd or 3rd (or Attempts) / Strangulation 1st or 2nd, Criminal Obstruction of Breathing, Stalking all degrees","P.G. 208",PG.,key_terms 208_arrests
"C GIF CUSS","Mnemonic for property/sexual family offenses: Criminal Mischief (all degrees) / Grand Larceny (3rd and 4th) / Identity Theft (1st, 2nd, 3rd) / Forcible Touching / Coercion 2nd (sub 1, 2, 3) / Unlawful Dissemination of Intimate Image / Sexual Misconduct / Sexual Abuse 3rd & Sexual Abuse 2nd sub 1","P.G. 208",PG.,key_terms 208_arrests
"Primary Physical Aggressor","The person identified as the primary aggressor in a simultaneous misdemeanor vs. misdemeanor family offense; determined by comparative extent of injuries, defensive acts, current/future threats, and prior DV history","P.G. 208",PG.,key_terms 208_arrests
"ICCU","Inter City Correspondence Unit — receives forwarded paperwork for DV incidents occurring outside NYC but within NYS","P.G. 208",PG.,key_terms 208_arrests
"Hope Card","Wallet-size card or digital version for Final OOPs; UMOS scan QR code with Dept phone to verify (Ops Order 11 s.2025)","P.G. 208",PG.,key_terms 208_arrests
"DVPO","Domestic Violence Prevention Officer — opens/manages cases in DVIMS, assists in apprehension, conducts home visits, follows up with victims on photos","P.G. 208",PG.,key_terms 208_arrests
"DVIMS","Domestic Violence Incident Management System — used by DVPO for case management (NOT the same as ECMS)","P.G. 208",PG.,key_terms 208_arrests
"ECMS","Enterprise Case Management System — used by assigned detective to document DVPO arrest efforts","P.G. 208",PG.,key_terms 208_arrests
"I-Card","Investigation Card activated for named DV perpetrator; must be activated no later than end of assigned tour; should include NYSID #","P.G. 208",PG.,key_terms 208_arrests
"Rosario Material","DIRs are potential Rosario material; if an arrest is made, A/O must give copy of DIR to ADA","P.G. 208",PG.,key_terms 208_arrests
"Mandatory Seizure","WILL seize firearms and license/permit if: OOP exists against holder, physical force or threat of involved in incident, or license holder is arrested (regardless of charge)","P.G. 208",PG.,key_terms 208_arrests
"Discretionary Seizure","MAY seize if UMOS reasonably believes presence of firearms creates imminent risk of physical injury or higher","P.G. 208",PG.,key_terms 208_arrests
"Form Name","Form Number","P.G. 208",PG.,key_terms 208_arrests
"OLBS Worksheet","PD244-159","P.G. 208",PG.,key_terms 208_arrests
"Arrest Supplement","PD244-157","P.G. 208",PG.,key_terms 208_arrests
"Desk Appearance Ticket","PD260-121","P.G. 208",PG.,key_terms 208_arrests
"Investigation Card","PD373-163","P.G. 208",PG.,key_terms 208_arrests
"Abbreviation","Full Name","P.G. 208",PG.,key_terms 208_arrests
"BWC","Body-Worn Camera","P.G. 208",PG.,key_terms 208_arrests
"OLBS","Online Booking System","P.G. 208",PG.,key_terms 208_arrests
"NYSID","New York State Identification Number","P.G. 208",PG.,key_terms 208_arrests
"DA","District Attorney","P.G. 208",PG.,key_terms 208_arrests
"FCA","Family Court Act","P.G. 208",PG.,key_terms 208_arrests
"SVU","Special Victims Unit","P.G. 208",PG.,key_terms 208_arrests
"DOCCS","Department of Corrections and Community Supervision","P.G. 208",PG.,key_terms 208_arrests
"TBTA","Triborough Bridge and Tunnel Authority","P.G. 208",PG.,key_terms 208_arrests
"CUNY","City University of New York","P.G. 208",PG.,key_terms 208_arrests
"DOE","Department of Education","P.G. 208",PG.,key_terms 208_arrests
"VTL","Vehicle and Traffic Law","P.G. 208",PG.,key_terms 208_arrests
"ICCU","Inter City Correspondence Unit","P.G. 208",PG.,key_terms 208_arrests
"DVPO","Domestic Violence Prevention Officer","P.G. 208",PG.,key_terms 208_arrests
"DVIMS","Domestic Violence Incident Management System","P.G. 208",PG.,key_terms 208_arrests
"ECMS","Enterprise Case Management System","P.G. 208",PG.,key_terms 208_arrests
"IAB","Internal Affairs Bureau","P.G. 208",PG.,key_terms 208_arrests
"BCS","Borough Court Section","P.G. 208",PG.,key_terms 208_arrests
"LLS","Language Line Service","P.G. 208",PG.,key_terms 208_arrests
"FORMS","Finest Online Records Management System","P.G. 208",PG.,key_terms 208_arrests
"Number","What It Represents","P.G. 208",PG.,key_terms 208_arrests
"6","Minimum total persons in a lineup (suspect + 5 others)","P.G. 208",PG.,key_terms 208_arrests
"2 years","Failed to appear in court — DAT disqualifier","P.G. 208",PG.,key_terms 208_arrests
"5 years","Lookback period for resisting recidivist classification (2+ arrests)","P.G. 208",PG.,key_terms 208_arrests
"30 minutes","Maximum interval for NYSID recheck during DAT processing","P.G. 208",PG.,key_terms 208_arrests
"4 days","If next tour > 4 days away, reassign DA conferral to another officer","P.G. 208",PG.,key_terms 208_arrests
"$500","Federal food stamp threshold for Operations Unit notification","P.G. 208",PG.,key_terms 208_arrests
"27","Number of specific offenses on the Order of Protection needed list (DAT disqualifier Category 3)","P.G. 208",PG.,key_terms 208_arrests
"7","Copies of 49 (Report on Typed Letterhead) to Chief of Department in a bribery arrest","P.G. 208",PG.,key_terms 208_arrests
"3","Steps in the Attempted Bribery (getting wired up) procedure (PG 208-35)","P.G. 208",PG.,key_terms 208_arrests
"3","Places the IAB Log # must appear when MOS commits DV offense (DIR Results box, 61 Details, FORMS Database)","P.G. 208",PG.,key_terms 208_arrests
"5","Copies of 49 (+1 if guns removed) for MOS DV offense report","P.G. 208",PG.,key_terms 208_arrests
"10 years","Lookback period for Menacing 1st (do Menacing 2nd with conviction in last 10 years) — DAT Category 3 disqualifier","P.G. 208",PG.,key_terms 208_arrests
"5 years","Lookback period for Aggravated Family Offense (family offense with prior conviction within 5 years) — DAT Category 3 disqualifier","P.G. 208",PG.,key_terms 208_arrests
"SERGEANT FOCUS: A DAT-eligible prisoner should NEVER be held solely for debriefing purposes. The only exception is when there is reasonable suspicion that the prisoner is involved in another crime. Holding a DAT-eligible prisoner without legal basis exposes the Department to liability.","208 DAT","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: The three categories are frequently tested. Remember: Category 1 = who the defendant IS, Category 2 = what the defendant DID, Category 3 = what the defendant MIGHT DO (future danger requiring court protection).","208 DAT","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: Supervisors must track DAT conferrals to ensure they happen within the required timeframe. A missed conferral can result in case dismissal.","208 DAT","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: Strangulation injuries are often internal and not immediately visible. Supervisors must ensure victims receive medical evaluation even when external injuries are absent.","208 DOMESTIC VIOLENCE","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: The Training Sergeant (not the DV Sergeant) is responsible for ensuring all UMOS know how to take and upload DV photos. The DVPO reviews daily to ensure photos were taken. Injuries that were not visible initially may become visible later — follow-up photography is critical.","208 DV PHOTOS","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: Petty offenses have the most restrictive requirements — the offense must be in the officer's presence, within the geographical area of employment, AND within the county of occurrence or adjoining county. Crimes (felonies and misdemeanors) require only reasonable cause and have no county limitation within the geographical area.","208 LAW AND PROCESSING","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: The supervisor's verification at the scene BEFORE removal is a critical checkpoint. The supervisor must also ensure a member is designated to document all MOS present and BWC activation status.","208 LAW AND PROCESSING","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: The desk officer must personally observe the physical and mental condition of ALL prisoners entering the command. High-risk prisoners require TWO MOS escort at ALL times — not just during transport.","208 LAW AND PROCESSING","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: Ensure arresting officers follow identification procedures thoroughly. Misidentification can lead to wrongful release or processing errors.","208 LAW AND PROCESSING","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: Supervisors must monitor felony processing timelines closely to ensure arraignment deadlines are met.","208 LAW AND PROCESSING","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: Supervisors must verify the validity of the warrant or wanted status before authorizing transfer of custody.","208 LAW AND PROCESSING","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: Supervisors must ensure all required notifications are made promptly. Failure to notify specialized units can compromise investigations and inter-agency relationships. The Intelligence Division notification list is particularly important — UN employees, foreign armed forces, and criminal anarchy all require immediate Intelligence Division contact.","208 NOTIFICATIONS","P.G. 208",PG.,sergeant_focus
"SERGEANT FOCUS: The desk officer's authority over religious head covering decisions is absolute at the command level. This mirrors the desk officer's broad authority over prisoner processing decisions within the command.","208 SEARCH GUIDELINES","P.G. 208",PG.,sergeant_focus
